provider_name,provider_state,provider_zip_code,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,provider_type,provider_resides_in_hospital,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,health_inspection_rating,qm_rating,staffing_rating,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,registered_nurse_hours_per_resident_per_day_on_the_weekend,number_of_administrators_who_have_left_the_nursing_home,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,number_of_payment_denials,total_number_of_penalties
COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,47802,Non profit - Other,60,49.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,2.31818,1.21832,3.5365,0.43327,,0,4,2,3,0,3
TERRACE AT SOLARBRON THE,IN,47712,For profit - Corporation,91,83.7,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,1,1,3,2,2.49153,1.62345,4.11498,0.3129,2,0,55,10,6,1,7
CUMBERLAND POINTE HEALTH CAMPUS,IN,47906,Government - County,71,57.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,3,5,2,1.37852,1.25421,2.63272,0.73992,,1,8,0,1,0,1
SPRINGHILL VILLAGE,IN,47802,Non profit - Corporation,99,78.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,2,1.89098,1.5432,3.43418,0.65536,0,1,4,3,2,0,2
CREASY SPRINGS HEALTH CAMPUS,IN,47905,Government - County,71,59,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,3,3,2,1.70148,1.33193,3.03341,0.81262,,0,14,0,1,0,1
PRAIRIE LAKES HEALTH CAMPUS,IN,46060,For profit - Limited Liability company,61,56,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,2,1.97556,1.3891,3.36466,0.48904,,4,9,6,4,0,4
HOMESTEAD HEALTHCARE CENTER,IN,46227,For profit - Corporation,156,55.3,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,2,1,5,1,2.49795,0.97326,3.47121,0.1978,1,1,35,7,4,3,7
WHITE OAK HEALTH CAMPUS,IN,47960,Government - County,61,56,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,3,2.08045,1.19359,3.27404,0.54781,,0,9,2,3,0,3
GREENLEAF HEALTH CAMPUS,IN,46514,For profit - Corporation,60,53,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,3,5,1,2.39114,0.9689,3.36004,0.24819,,0,3,1,2,0,2
CREEKSIDE VILLAGE,IN,46545,For profit - Corporation,100,77.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,2,2.49034,1.33924,3.82959,0.07471,0,0,13,2,0,0,0
WEST RIVER HEALTH CAMPUS,IN,47712,For profit - Corporation,61,37.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,3,2,1,1.61878,1.61148,3.23026,0.4913,,0,3,3,2,0,2
ALLISONVILLE MEADOWS,IN,46038,Non profit - Corporation,161,127.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,2,1.71356,1.42089,3.13445,0.52899,1,0,7,3,2,0,2
INDIANA VETERANS HOME,IN,47906,Government - State,212,108.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,4,3.832,1.54194,5.37394,0.51612,,2,4,3,8,2,10
GREENWOOD MEADOWS,IN,46142,Non profit - Corporation,169,126.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,2,1.81257,1.35155,3.16412,0.55954,2,0,1,0,0,0,0
RIDGEWOOD HEALTH CAMPUS,IN,47025,Government - County,71,65.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,2,1.59715,1.52565,3.1228,0.62626,,1,0,1,1,0,1
BRIDGEWATER HEALTHCARE CENTER,IN,46033,For profit - Corporation,120,81.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,1,2.03061,1.50723,3.53784,0.40868,,2,94,6,14,2,16
BLAIR RIDGE HEALTH CAMPUS,IN,46970,For profit - Corporation,55,47.9,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,3,3,3,2.55886,1.35092,3.90978,0.41661,,0,2,1,2,0,2
COUNTRYSIDE MEADOWS,IN,46123,Non profit - Corporation,171,125,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,5,1,2.37791,1.05709,3.43499,0.33042,1,0,22,5,2,0,2
HAMILTON TRACE OF FISHERS,IN,46037,For profit - Corporation,108,104.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,2,2.03244,1.70773,3.74017,0.33568,2,0,6,2,1,0,1
"RETREAT AT THE STRATFORD, THE",IN,46032,For profit - Limited Liability company,18,11.2,Medicare,N,Y,,N,N,Both,Yes,5,4,5,5,3.93804,2.88352,6.82156,1.30927,,0,0,1,1,0,1
AVALON SPRINGS HEALTH CAMPUS,IN,46383,For profit - Corporation,61,51,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,3,2.0103,1.53828,3.54858,0.62928,,0,0,0,1,0,1
CEDARS THE,IN,46765,Government - County,65,35.3,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,3,3,4,3,2.21541,0.93274,3.14815,0.35071,0,6,20,6,2,0,2
ASPEN PLACE HEALTH CAMPUS,IN,47240,For profit - Corporation,64,46.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,1.76665,1.13166,2.89832,0.58425,,1,4,1,2,0,2
ASHTON CREEK HEALTH AND REHABILITATION CENTER,IN,46845,Non profit - Corporation,139,101.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,3,2.12485,1.72728,3.85213,0.4707,0,1,7,6,3,0,3
APERION CARE MARION LLC,IN,46953,For profit - Corporation,70,52,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,1,2.01737,1.34729,3.36466,0.19529,,0,31,9,15,3,18
LUTHERAN LIFE VILLAGES,IN,46825,Non profit - Corporation,84,79.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,3,2.37854,1.51401,3.89255,0.36395,0,0,5,1,2,0,2
TRANSCENDENT HEALTHCARE OF BOONVILLE - NORTH,IN,47601,Non profit - Corporation,56,44.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,1.59083,0.85682,2.44764,0.38001,,0,24,5,6,0,6
PROVIDENCE HEALTH CARE CENTER,IN,47876,Non profit - Corporation,70,58.2,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,3,2,4,2.53812,1.90374,4.44186,0.83626,0,0,0,3,3,0,3
HAMILTON POINTE HEALTH AND REHAB,IN,47630,For profit - Limited Liability company,115,98.1,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,1,1,4,3,2.56866,1.62648,4.19514,0.38771,0,2,19,6,5,0,5
ADDISON POINTE HEALTH & REHABILITATION CENTER,IN,46304,Non profit - Corporation,100,92.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,2,2.5119,1.49048,4.00238,0.21602,2,0,12,2,3,0,3
WELLBROOKE OF WABASH,IN,46992,For profit - Corporation,70,50,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,2,1.9136,1.61596,3.52956,0.33396,,1,2,1,3,1,4
RURAL HEALTH CARE CENTER,IN,46218,Government - County,50,40.3,Medicare and Medicaid,N,N,SFF Candidate,Y,N,Resident,Yes,1,1,2,1,1.77861,0.81487,2.59348,0.18546,0,0,4,2,1,0,1
WELLBROOKE OF WESTFIELD,IN,46074,For profit - Corporation,70,50.3,Medicare and Medicaid,N,Y,,N,N,Both,Yes,2,2,4,2,1.47483,1.62901,3.10384,0.62215,,1,8,3,2,0,2
GREY STONE HEALTH & REHABILITATION CENTER,IN,46845,For profit - Corporation,100,86.6,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,2,2,2,2.16791,1.21738,3.3853,0.38613,0,2,4,3,2,1,3
VERNON HEALTH & REHABILITATION,IN,46992,Non profit - Corporation,119,53.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,2.34487,1.51491,3.85978,0.2966,,4,6,4,6,0,6
WELLBROOKE OF AVON,IN,46234,Non profit - Corporation,70,46.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,3,2.22114,1.81714,4.03828,0.52913,,0,5,1,2,0,2
WELLBROOKE OF CRAWFORDSVILLE,IN,47933,For profit - Corporation,70,44.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,4,1,1.22849,1.36605,2.59454,0.54738,,0,2,2,2,0,2
VILLAGES AT HISTORIC SILVERCREST THE,IN,47150,For profit - Corporation,56,46.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,3,1.8792,1.95824,3.83744,0.63428,,0,0,0,1,0,1
BROOKE KNOLL VILLAGE,IN,46123,Non profit - Corporation,117,77.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,4,1,1.97881,1.33661,3.31542,0.22617,1,0,6,1,2,0,2
CLEARVISTA LAKE HEALTH CAMPUS,IN,46256,Non profit - Other,70,45.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,2,2.32493,1.4339,3.75883,0.81742,,0,6,3,2,0,2
ARLINGTON PLACE HEALTH CAMPUS,IN,46218,For profit - Partnership,100,59,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,4,1,2.24523,1.39783,3.64306,0.37419,,0,13,3,3,0,3
"BARRINGTON OF CARMEL, THE",IN,46032,Non profit - Corporation,22,31,Medicare,N,Y,,N,N,Resident,Yes,5,5,5,3,2.29975,2.30982,4.60957,0.35653,0,0,0,0,1,0,1
HEARTHSTONE HEALTH CAMPUS,IN,47404,For profit - Corporation,64,55.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,3,1,1.66999,1.51095,3.18094,0.3647,,0,0,1,1,0,1
WELLBROOKE OF KOKOMO,IN,46902,For profit - Limited Liability company,70,54.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,2,2.18866,1.40015,3.58881,0.5012,,0,0,0,1,0,1
UNIVERSITY NURSING AND REHABILITATION CENTER,IN,47714,For profit - Corporation,47,40.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,4,2.81577,1.36405,4.17981,0.50653,0,0,4,2,2,2,4
ASPEN TRACE HEALTH & LIVING COMMUNITY,IN,46143,Non profit - Corporation,104,99.9,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,4,5,4,1,1.87223,1.29256,3.1648,0.24855,0,0,1,0,3,0,3
CEDAR CREEK HEALTH CAMPUS,IN,46356,For profit - Corporation,58,53.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,2,1.42133,1.55126,2.97259,0.45619,,0,2,1,2,0,2
SOUTHPOINTE HEALTHCARE CENTER,IN,46237,Non profit - Corporation,100,94.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,2,2.18466,1.67122,3.85588,0.49035,,0,2,0,1,0,1
WELLBROOKE OF SOUTH BEND,IN,46637,For profit - Corporation,70,49.4,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,3,3,3,2.05935,1.46903,3.52838,0.68567,,2,2,2,1,0,1
ST AUGUSTINE HOME FOR THE AGED,IN,46260,Non profit - Corporation,42,25.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,2,5,4.02976,2.35243,6.38219,0.39067,,4,1,0,3,1,4
EVERGREEN CROSSING AND THE LOFTS,IN,46254,For profit - Corporation,109,82.2,Medicare and Medicaid,N,N,SFF,N,N,Resident,Yes,,,,,2.20921,1.39293,3.60213,0.32895,,3,34,8,8,2,10
SAGE BLUFF HEALTH & REHAB CENTER,IN,46804,For profit - Corporation,84,43.8,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,1,4,2,2.2558,1.81335,4.06916,0.72452,2,4,21,4,5,0,5
HERITAGE POINTE OF FORT WAYNE,IN,46835,Non profit - Corporation,84,50,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,5,4,5,4,3.43828,2.28703,5.72531,0.63282,1,1,8,0,2,0,2
"SPRINGS AT LAFAYETTE, THE",IN,47904,Non profit - Corporation,70,56.4,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,2,2,2,1.73232,1.25215,2.98448,0.65804,,0,2,1,1,0,1
HARRISON'S CROSSING HEALTH CAMPUS,IN,47804,For profit - Corporation,72,50.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,2,2.34396,1.594,3.93796,0.34243,,0,1,3,1,0,1
BRIARCLIFF HEALTH & REHABILITATION CENTER,IN,46619,For profit - Corporation,131,87,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,1,1,2,1,2.40726,0.85505,3.26231,0.14168,,2,37,7,5,2,7
WITHAM EXTENDED CARE,IN,46052,Government - County,18,11.6,Medicare,N,N,,N,N,None,Yes,5,5,4,5,2.00943,4.86648,6.87591,2.09734,0,0,0,1,1,0,1
WELLBROOKE OF CARMEL,IN,46032,For profit - Partnership,74,49.4,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,1,2,2,1,1.88191,1.85723,3.73914,0.23984,,0,3,0,1,0,1
BRICKYARD HEALTHCARE - WILLOW SPRINGS CARE CENTER,IN,46260,For profit - Corporation,134,66.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,5,1,2.39161,1.42233,3.81394,0.30759,1,0,44,2,1,0,1
SYMPHONY OF CROWN POINT  LLC,IN,46307,For profit - Corporation,68,57.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,3,2.76883,2.58611,5.35494,0.2306,,0,26,4,6,0,6
CUMBERLAND TRACE HEALTH & LIVING COMMUNITY,IN,46168,For profit - Corporation,104,97.8,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,4,3,5,3,1.90367,1.68297,3.58663,0.24344,0,0,10,5,3,0,3
"VILLAGES AT OAK RIDGE, THE",IN,47501,Government - County,58,51.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,2,1.62142,1.6599,3.28131,0.87603,,0,3,2,1,0,1
STONECROFT HEALTH CAMPUS,IN,47403,For profit - Corporation,70,35.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,2,1.78813,1.58896,3.37709,0.53254,,0,1,1,1,0,1
SUMMIT HEALTH AND LIVING,IN,46070,Non profit - Corporation,34,27.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,3,2.53273,1.60435,4.13709,0.27596,0,0,0,1,3,0,3
SYMPHONY OF DYER,IN,46311,For profit - Corporation,100,80.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,1,4,4,2.39134,2.66556,5.0569,0.35988,,0,56,2,3,0,3
COPPER TRACE HEALTH & LIVING COMMUNITY,IN,46074,Non profit - Corporation,104,98.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,2,1.95391,1.62183,3.57574,0.34056,0,1,20,1,0,0,0
"SPRINGS OF MOORESVILLE, THE",IN,46158,Government - County,70,43.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,5,4,1,1.78142,1.53817,3.3196,0.25098,,0,0,2,1,0,1
"SPRINGS OF RICHMOND, THE",IN,47374,For profit - Partnership,70,43.2,Medicare and Medicaid,N,N,,N,N,None,Yes,3,3,3,3,1.84341,2.13575,3.97915,0.76652,,0,10,2,1,0,1
SYMPHONY OF CHESTERTON LLC,IN,46304,For profit - Corporation,70,66.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,3,1.83861,2.14602,3.98463,0.87179,,0,18,1,4,0,4
SIMMONS LOVING CARE HEALTH FACILITY,IN,46407,Non profit - Corporation,46,24.6,Medicare and Medicaid,N,N,SFF,N,N,Resident,Yes,,,,,,,,,,3,15,2,46,3,49
RESTORACY OF CARMEL,IN,46032,For profit - Limited Liability company,72,64.1,Medicare and Medicaid,N,N,SFF Candidate,Y,N,Both,Yes,1,1,4,1,,,,,,2,86,10,41,3,44
SILVER MEMORIES HEALTH CARE,IN,47042,For profit - Corporation,29,28.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,1.61613,1.31559,2.93171,0.99419,0,0,0,1,2,0,2
ENMOTION RECOVERY CARE,IN,46122,Government - County,26,6.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,5,2.76051,7.53425,10.29475,4.95778,0,0,0,0,0,0,0
RIVER TERRACE HEALTH CAMPUS,IN,47250,For profit - Corporation,57,36.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,3,1.63274,1.54568,3.17841,0.59163,,0,2,1,1,0,1
BELLTOWER HEALTH & REHABILITATION CENTER,IN,46530,For profit - Corporation,96,84.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,2.66773,1.07055,3.73828,0.12038,0,1,4,1,3,2,5
ORCHARD POINTE HEALTH CAMPUS,IN,46755,Non profit - Corporation,58,44.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,4,1,1.92602,1.27694,3.20295,0.41106,,0,0,1,1,0,1
HARRISON SPRINGS HEALTH CAMPUS,IN,47112,For profit - Corporation,58,52.5,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,2,3,3,1,1.80269,1.50068,3.30337,0.60946,,2,1,0,2,0,2
PARK PLACE HEALTH AND WELLNESS CENTER,IN,46373,Non profit - Corporation,50,46.7,Medicare,N,N,,N,N,Resident,Yes,3,3,3,4,3.36641,2.01646,5.38287,0.95127,0,0,2,0,1,0,1
NORTH RIVER HEALTH CAMPUS,IN,47725,For profit - Corporation,58,46.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,2,1.80625,1.29159,3.09784,0.52831,,0,7,1,2,0,2
MCGIVNEY HEALTH CARE CENTER,IN,46033,Non profit - Corporation,37,33.1,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,1,2,1,1,1.92542,0.79981,2.72523,0.02307,1,0,10,4,0,0,0
"LAURELS OF GOSHEN, THE",IN,46526,For profit - Corporation,48,44.4,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,1,5,4,3.33498,1.93299,5.26797,0.85931,,0,3,3,7,1,8
TRANQUILITY NURSING AND REHAB,IN,46205,For profit - Limited Liability company,78,32.2,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,1,1,1,1,,,,,,0,15,2,4,1,5
"RESTORACY OF WHITESTOWN, THE",IN,46075,For profit - Partnership,72,66.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,2,2.68834,1.17978,3.86813,0.27922,0,1,0,1,4,0,4
ENVIVE OF BEECH GROVE,IN,46107,Government - City/county,52,,Medicare and Medicaid,N,N,,N,N,Both,Yes,,,,,,,,,,0,0,,0,0,0
ESPECIALLY KIDZ HEALTH & REHAB,IN,46176,Government - City/county,130,127.5,Medicaid,N,N,,N,N,None,Yes,3,3,5,1,2.1033,1.6051,3.7084,0.11992,0,0,13,3,0,0,0
BROOKSIDE CARE STRATEGIES,IN,47303,For profit - Partnership,42,33,Medicaid,N,N,,Y,N,Resident,Yes,1,2,1,,,,,,,2,5,8,0,0,0
LYNHURST HEALTHCARE,IN,46241,For profit - Partnership,40,33.5,Medicaid,N,N,,N,N,Both,Yes,1,3,1,1,,,,,,3,9,1,18,0,18
HILDEGARD HEALTH CENTER,IN,47532,Non profit - Church related,17,17,Medicaid,N,N,,N,N,Resident,Yes,5,5,5,4,1.83728,2.89498,4.73226,0.74717,2,0,0,1,0,0,0
MORGANTOWN HEALTH CARE,IN,46160,For profit - Corporation,39,31.8,Medicaid,N,N,,N,N,Resident,Yes,4,5,3,1,1.80469,1.05062,2.85531,0.3845,,0,0,0,4,0,4
IOWA JEWISH SENIOR LIFE CENTER,IA,50312,Non profit - Corporation,72,49,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,3.02936,1.35145,4.38081,0.31725,1,0,1,2,1,0,1
PROMEDICA SKILLED NURSING & REHAB ( CEDAR RAPIDS),IA,52402,For profit - Corporation,105,79,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,4,1.81754,1.3663,3.18384,0.5847,0,0,1,0,1,0,1
CHAUTAUQUA GUEST HOME #2,IA,50616,For profit - Corporation,53,38.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,5,2.43561,1.29574,3.73136,0.56103,0,0,0,0,0,0,0
OAKNOLL RETIREMENT RESIDENCE,IA,52240,Non profit - Corporation,58,53.4,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,5,5,3,5,2.6468,1.53415,4.18096,0.9864,0,1,1,0,0,0,0
PROMEDICA SKILLED NURSING & REHAB (DAVENPORT),IA,52803,Non profit - Corporation,105,58.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,3,1.91115,1.45295,3.3641,0.31049,0,0,15,5,3,0,3
PROMEDICA SKILLED NURSING & REHAB ( WATERLOO ),IA,50701,For profit - Individual,97,76,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,3,1.55439,1.24971,2.8041,0.35334,0,0,36,1,1,0,1
RIDGECREST VILLAGE,IA,52806,Non profit - Corporation,137,44.4,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,3,2,5,2,2.16341,1.83406,3.99747,0.26967,0,3,39,0,0,0,0
GOOD SHEPHERD HEALTH CENTER,IA,50401,Non profit - Church related,210,161.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,3,1.78167,1.03014,2.81181,0.29284,0,4,8,0,3,0,3
FRIENDSHIP VILLAGE RETIREMENT,IA,50702,Non profit - Other,72,67.4,Medicare and Medicaid,N,Y,,N,N,None,Yes,2,1,3,5,3.08077,1.57534,4.65612,0.5044,,3,0,1,4,1,5
SHADY OAKS,IA,51449,Non profit - Corporation,80,30.8,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,3,5,4,3.17519,1.22679,4.40199,0.50588,0,4,4,0,0,0,0
PROMEDICA SKILLED NURSING & REHAB ( DUBUQUE ),IA,52001,Non profit - Other,99,64.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,4,1.72832,1.3815,3.10982,0.43418,0,0,1,1,3,0,3
SOUTHEAST IOWA REGIONAL MEDICAL - KLEIN CENTER,IA,52655,Non profit - Corporation,160,91.9,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,5,5,5,5,2.64549,1.82994,4.47543,0.96433,,0,1,1,1,0,1
MADRID HOME FOR THE AGED,IA,50156,Non profit - Corporation,88,46.9,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,2,2,4,4,3.12402,1.10872,4.23275,0.54581,1,0,4,3,2,0,2
STRAWBERRY POINT LUTHERAN HOME,IA,52076,Non profit - Church related,16,13.3,Medicare and Medicaid,N,N,,N,N,None,Yes,4,4,3,4,2.30746,2.18257,4.49002,1.18202,2,2,2,0,0,0,0
EMBASSY REHAB AND CARE CENTER,IA,51054,For profit - Corporation,60,38.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,1,2.10523,1.04128,3.1465,0.30125,0,2,27,10,2,1,3
KAHL HOME FOR THE AGED & INFIRMED,IA,52807,Non profit - Corporation,135,79.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,3,5,2.8368,1.88292,4.71972,0.77075,0,2,5,0,5,0,5
HENRY COUNTY HEALTH CENTER,IA,52641,Government - City/county,49,30.2,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,5,4,2,5,2.97716,1.76219,4.73935,1.04917,,0,0,0,4,0,4
MISSISSIPPI VALLEY,IA,52632,For profit - Limited Liability company,126,60.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,3,3.37395,1.77957,5.15353,0.50427,0,0,5,2,2,0,2
HARMONY HOUSE HEALTH CARE CENT,IA,50701,For profit - Corporation,70,40.1,Medicare and Medicaid,N,N,,N,N,None,Yes,3,3,4,4,4.04637,1.70677,5.75314,0.57518,,0,1,0,2,0,2
SALEM LUTHERAN HOME,IA,51531,Non profit - Corporation,74,53.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,3,1.86452,1.21767,3.08219,0.16911,,4,4,0,3,1,4
FORT DODGE HEALTH AND REHABILITATION,IA,50501,For profit - Corporation,65,61.8,Medicare and Medicaid,N,N,,Y,N,None,Yes,2,2,5,1,1.64141,0.9525,2.59391,0.36292,1,1,15,1,2,0,2
CROWN POINTE ESTATES CARE CENTER,IA,51250,Non profit - Corporation,101,60.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,4,3.78619,1.18258,4.96877,0.56636,1,0,0,1,7,0,7
AZRIA HEALTH CLARINDA,IA,51632,For profit - Limited Liability company,70,46.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,4,2.21305,1.53743,3.75047,0.28521,0,2,4,0,1,1,2
TOUCHSTONE HEALTHCARE COMMUNITY,IA,51104,For profit - Limited Liability company,125,45.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,1,,,,,,11,45,1,7,0,7
ALTOONA NURSING AND REHABILITATION CENTER,IA,50009,For profit - Limited Liability company,106,93,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,3,2.00983,1.26617,3.27599,0.41511,1,8,61,3,3,0,3
ON WITH LIFE,IA,50023,Non profit - Corporation,28,27.4,Medicare and Medicaid,N,N,,N,N,Both,Yes,5,5,3,5,5.15616,4.48952,9.64569,1.83896,,0,0,0,0,0,0
NORTHCREST SPECIALTY CARE,IA,50703,Non profit - Corporation,94,72.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,2,2.20835,1.16262,3.37097,0.35675,2,1,28,2,3,0,3
THE VILLAGE,IA,50125,Non profit - Corporation,54,50,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,3,3,4,4,2.55606,1.56325,4.11931,0.90094,,0,5,0,1,0,1
GOOD SAMARITAN SOCIETY - DAVENPORT,IA,52804,Non profit - Corporation,190,88.1,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,2,3,2,1.96861,1.24964,3.21825,0.44666,0,0,22,1,2,1,3
SILVER OAK NURSING AND REHABILITATION CENTER LLC,IA,52302,For profit - Corporation,91,48.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,2,2.29077,0.96483,3.2556,0.41394,2,7,36,0,2,1,3
BRIARWOOD HEALTHCARE CENTER,IA,52246,For profit - Corporation,62,50.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,4,2.72071,1.13045,3.85116,0.46706,0,0,0,0,0,0,0
OSAGE REHAB AND HEALTH CARE CENTER,IA,50461,For profit - Individual,46,31.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,5,1,1.68679,0.9677,2.65449,0.35129,2,0,0,0,2,0,2
CASA DE PAZ HEALTH CARE CENTER,IA,51103,For profit - Limited Liability company,71,53,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,2,1.81367,1.41968,3.23334,0.43172,2,1,8,0,2,0,2
GENESIS SENIOR LIVING,IA,50315,For profit - Partnership,80,59.8,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,1,1,3,2,2.31094,1.09188,3.40282,0.31007,2,1,22,5,10,2,12
MERCYONE OELWEIN SENIOR CARE,IA,50662,Non profit - Church related,39,23.2,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,3,3,2,4,1.5234,1.31465,2.83805,0.71227,,1,0,1,1,1,2
